"key","message","comment","context"
"Regex","Expressió regular",,
"Related","Relacionat",,
"Related document id","ID del document relacionat",,
"Related document model","Model del document relacionat",,
"Related document name","Nom del document relacionat",,
"Related model","Model relacionat",,
"Related name","Nom relacionat",,
"Related object","Objecte relacionat",,
"Relationship","Relació",,
"Remove","Eliminar",,
"Replies","Respostes",,
"Required","Requerit",,
"Required if","Requerit si",,
"Restart jobs","Reiniciar tasques",,
"Restore all…","Restaurar tot…",,
"Role","Rol",,
"Roles","Rols",,
"Root","Arrel",,
"Rule","Regla",,
"Rules","Regles",,
"SQL error","Error de SQL",,
"Scale","Escala",,
"Schedule","Planificador",,
"Schedules","Planificadors",,
"Schema","Esquema",,
"Search","Cercar",,
"Select","Seleccionar",,
"Select Item","Element de selecció",,
"Selection","Selecció",,
"Selects","Seleccions",,
"Separator","Separador",,
"Sequence","Seqüència",,
"Sequence order","Ordre de seqüència",,
"Server expression to check whether to use this field.","Expressió del servidor per verificar si s'utilitza aquest camp.",,
"Shared","Compartit",,
"Shared with me","Compartit amb mi",,
"Show Model","Mostrar model",,
"Show if","Mostrar si",,
"Show permissions","Mostrar permisos",,
"Single tab","Pestanya única",,
"Size","Mida",,
"Size in bytes","Mida en bytes",,
"Spacer","Espaiador",,
"Specify whether the members of this group are technical staff.","Especifica si els membres d'aquest grup són personal tècnic.",,
"Specify whether this action can be used as home action.","Especifica si aquesta acció pot utilitzar-se com a acció d'inici.",,
"Status","Estat",,
"Stop service","Aturar servei",,
"String","Cadena",,
"Style","Estil",,
"Subject","Assumpte",,
"Subscribe","Subscriure's",,
"Success","Èxit",,
"Suffix","Sufix",,
"Summary","Resum",,
"System notification","Notificació del sistema",,
"Table","Taula",,
"Tag","Etiqueta",,
"Tag count","Comptador d'etiquetes",,
"Tag label","Etiqueta d'etiqueta",,
"Tag method","Mètode d'etiqueta",,
"Tag style","Estil d'etiqueta",,
"Tags","Etiquetes",,
"Target custom model","Model personalitzat objectiu",,
"Target json model","Model Json objectiu",,
"Target model","Model objectiu",,
"Task","Tasca",,
"Task closed","Tasca tancada",,
"Task created","Tasca creada",,
"Task date","Data de tasca",,
"Task deadline","Data límit de tasca",,
"Task duration","Durada de tasca",,
"Tasks","Tasques",,
"Tasks assigned to me","Tasques assignades a mi",,
"Tasks created by me","Tasques creades per mi",,
"Tasks due","Tasques vençudes",,
"Tasks todo","Tasques per fer",,
"Teal","Verd blavós",,
"Team","Equip",,
"Teams","Equips",,
"Teamwork","Treball en equip",,
"Technical staff","Personal tècnic",,
"The addition data for UI widgets","Dades addicionals per a widgets d'UI",,
"The color to use for tags","El color a utilitzar per a etiquetes",,
"The image icon to show in UI widgets","La icona d'imatge per mostrar en widgets d'UI",,
"The record(s) are referenced by other records. Please remove all the references first.","El(s) registre(s) estan referenciats per altres registres. Si us plau, elimina totes les referències primer.",,
"The record(s) can't be updated as it violates unique constraint.","El(s) registre(s) no poden actualitzar-se perquè violen una restricció única.",,
"The scheduler service has been stopped.","El servei de planificació ha estat parat.",,
"The scheduler service is disabled.","El servei de planificació està desactivat.",,
"The select item title","El títol de l'element de selecció",,
"The select item value","El valor de l'element de selecció",,
"Theme","Tema",,
"Theme Management","Gestió de temes",,
"Themes","Temes",,
"This may terminate any running jobs. Are you sure you want to continue?","Això pot aturar qualsevol tasca en execució. Estàs segur que vols continuar?",,
"This will make the theme available for users. Are you sure you want to continue?","Això farà que el tema estiga disponible per als usuaris. Estàs segur que vols continuar?",,
"This will revert any users having this theme with the default theme. Are you sure you want to continue?","Això revertirà qualsevol usuari que tinga aquest tema al tema per defecte. Estàs segur que vols continuar?",,
"This will update job with current settings. Are you sure you want to continue?","Això actualitzarà la tasca amb la configuració actual. Estàs segur que vols continuar?",,
"Time","Hora",,
"Title","Títol",,
"Token","Token",,
"Tooltip","Informació emergent",,
"Topic","Tema",,
"Topic closed","Tema tancat",,
"Topic created","Tema creat",,
"Topic re-opened","Tema reobert",,
"Topics","Temes",,
"Track change ?","Seguir canvis?",,
"Tracking","Seguiment",,
"Translation","Traducció",,
"Tree","Arbre",,
"True","Vertader",,
"Type","Tipus",,
"Unexpected database error occurred on the server.","S'ha produït un error inesperat a la base de dades del servidor.",,
"Unique constraint violation","Violació de restricció única",,
"Unique message identifier","Identificador únic de missatge",,
"Unread","No llegit",,
"Unsubscribe","Cancel·lar subscripció",,
"Update","Actualitzar",,
"Updated by","Actualitzat per",,
"Updated on","Actualitzat el",,
"Urgent","Urgent",,
"Used as home action","Utilitzat com a acció d'inici",,
"User","Usuari",,
"User Management","Gestió d'usuaris",,
"User preferences","Preferències d'usuari",,
"Users","Usuaris",,
"Valid cron. Next execution dates are:","Cron vàlid. Les properes dates d'execució són:",,
"Validate","Validar",,
"Validation error","Error de validació",,
"Value","Valor",,
"Value Expression","Expressió de valor",,
"Version","Versió",,
"View","Vista",,
"View Attribute","Atribut de vista",,
"View Attributes","Atributs de vista",,
"View Help","Ajuda de vista",,
"View Management","Gestió de vistes",,
"View customization","Personalització de vista",,
"View customization permission","Permís de personalització de vista",,
"Views","Vistes",,
"Visibility","Visibilitat",,
"Visible","Visible",,
"Visible in grid","Visible a la graella",,
"Warning","Avís",,
"When making the theme available to users, make sure that the name is unique.","Quan fas el tema disponible per als usuaris, assegura't que el nom siga únic.",,
"Whether to grant create access.","Si es concedeix accés de creació.",,
"Whether to grant export access.","Si es concedeix accés d'exportació.",,
"Whether to grant import access.","Si es concedeix accés d'importació.",,
"Whether to grant read access.","Si es concedeix accés de lectura.",,
"Whether to grant remove access.","Si es concedeix accés d'eliminació.",,
"Whether to grant write access.","Si es concedeix accés d'escriptura.",,
"Whether to show help messages.","Si es mostren missatges d'ajuda.",,
"Whether to use tabbed ui.","Si s'utilitza interfície amb pestanyes.",,
"White","Blanc",,
"Widget","Widget",,
"Widget Attributes","Atributs de widget",,
"Widget attrs","Attrs de widget",,
"Write","Escriptura",,
"Wrong current password","Contrasenya actual incorrecta",,
"Wrong username or password","Nom d'usuari o contrasenya incorrectes",,
"Xml","Xml",,
"Yellow","Groc",,
"You are not allowed to customize views.","No tens permís per personalitzar vistes.",,
"You are not allowed to execute this action.","No tens permís per executar aquesta acció.",,
"You are not allowed to remove this filter","No tens permís per eliminar aquest filtre.",,
"You are not allowed to share custom views.","No tens permís per compartir vistes personalitzades.",,
"You are not authorized to create this resource.","No estàs autoritzat a crear aquest recurs.",,
"You are not authorized to export the data.","No estàs autoritzat a exportar les dades.",,
"You are not authorized to import the data.","No estàs autoritzat a importar les dades.",,
"You are not authorized to read this resource.","No estàs autoritzat a llegir aquest recurs.",,
"You are not authorized to remove this resource.","No estàs autoritzat a eliminar aquest recurs.",,
"You are not authorized to update this resource.","No estàs autoritzat a actualitzar aquest recurs.",,
"You can't create document here.","No pots crear un document ací.",,
"You can't move document here.","No pots moure el document ací.",,
"Your current password","La teua contrasenya actual",,
"Your password reset token is invalid or expired.","El teu token de restabliment de contrasenya és invàlid o ha caducat.",,
"action-attrs","action-attrs",,
"action-condition","action-condition",,
"action-export","action-export",,
"action-group","action-group",,
"action-import","action-import",,
"action-method","action-method",,
"action-record","action-record",,
"action-report","action-report",,
"action-script","action-script",,
"action-validate","action-validate",,
"action-view","action-view",,
"action-ws","action-ws",,
"added comment","comentari afegit",,
"aop.meta.order","Ordre",,
"confirm new password","confirmar nova contrasenya",,
"confirm password","confirmar contrasenya",,
"current password","contrasenya actual",,
"form::Select","Selecció",,
"login name","nom d'usuari",,
"new password","nova contrasenya",,
"password","contrasenya",,
"updated document","document actualitzat",,
"user group","grup d'usuari",,
"user name","nom d'usuari",,
"user.password.pattern-title","La contrasenya ha de tindre almenys 8 caràcters, una majúscula, una minúscula, un número i un caràcter especial.",,
"your current password","la teua contrasenya actual",,
"{0} customized view is deleted.","{0} vista personalitzada eliminada.",,
"{0} customized views are deleted.","{0} vistes personalitzades eliminades.",,
"Validation Error","L'acció no es va completar pels següents motius",,
